species_name,type_strain,fasta_code,,,,,,,,
[Clostridium] aldenense,"DQ279736.1 Clostridium aldenense strain RMA 9741 16S ribosomal RNA gene, partial sequence",DQ279736.1,1,,[Clostridium] aldenense: DQ279736.1,,,,,"[Clostridium] aldenense: DQ279736.1, [Clostridium] celerecrescens: X71848.1, [Clostridium] clostridioforme: M59089.2, [Clostridium] scindens: AF262238.1, [Eubacterium] rectale: L34627.1, [Ruminococcus] gnavus: X94967, Anaerostipes hadrus: NR_117139, Blautia caecimuris: KR364746.1, Blautia faecis: HM626178.1, Blautia glucerasea: AB439724.1, Blautia hansenii: DSM.20583, Blautia luti: AJ133124.1, Blautia obeum: X85101.1, Blautia producta: X94966.1, Blautia schinkii: X94965.1, Blautia wexlerae: EF036467.1, Coprococcus comes: EF031542.1, Coprococcus eutactus: NR_115510., Dorea formicigenerans: L34619.2, Dorea longicatena: AJ132842.1, Faecalicatena fissicatena: NR_117142., Fusicatenibacter saccharivorans: AB698910.1, Roseburia intestinalis: AJ312385.1, Sellimonas intestinalis: KP966092.1"
[Clostridium] celerecrescens,X71848.1 C.celerecrescens gene for 16S ribosomal RNA,X71848.1,2,,", [Clostridium] celerecrescens: X71848.1",,,,,
[Clostridium] clostridioforme,"M59089.2 Clostridium clostridioforme strain ATCC 25537 16S ribosomal RNA gene, partial sequence",M59089.2,3,,", [Clostridium] clostridioforme: M59089.2",,,,,
[Clostridium] scindens,"AF262238.1 Clostridium scindens 16S ribosomal RNA gene, partial sequence",AF262238.1,4,,", [Clostridium] scindens: AF262238.1",,,,,
[Clostridium] symbosium,,,,,,,,,,
[Eubacterium] rectale,L34627.1 Eubacterium rectale 16S ribosomal RNA,L34627.1,5,,", [Eubacterium] rectale: L34627.1",,,,,
[Ruminococcus] gnavus,X94967.1 R.gnavus 16S ribosomal RNA,X94967,6,,", [Ruminococcus] gnavus: X94967",,,,,
Anaerostipes hadrus,"NR_117139.2 Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",NR_117139,7,,", Anaerostipes hadrus: NR_117139",,,,,
Bacteroides fragilis,,,,,,,,,,
Bacteroides thetaiotamicron,,,,,,,,,,
Bacteroides vulgatus,,,,,,,,,,
Blautia caecimuris,"KR364746.1 Blautia caecimuris strain SJ18 16S ribosomal RNA gene, partial sequence",KR364746.1,8,,", Blautia caecimuris: KR364746.1",,,,,
Blautia faecis,"HM626178.1 Blautia faecis strain M25 16S ribosomal RNA gene, partial sequence",HM626178.1,9,,", Blautia faecis: HM626178.1",,,,,
Blautia glucerasea,"AB439724.1 Blautia glucerasea gene for 16S ribosomal RNA, partial sequence",AB439724.1,10,,", Blautia glucerasea: AB439724.1",,,,,
Blautia hansenii,"M59114.2 Blautia hansenii DSM 20583 16S ribosomal RNA gene, partial sequence",DSM.20583,11,,", Blautia hansenii: DSM.20583",,,,,
Blautia luti,"AJ133124.1 Blautia luti 16S rRNA gene, strain bln9",AJ133124.1,12,,", Blautia luti: AJ133124.1",,,,,
Blautia obeum,X85101.1 R.obeum 16S rRNA gene,X85101.1,13,,", Blautia obeum: X85101.1",,,,,
Blautia producta,X94966.1 P.productus 16S ribosomal RNA,X94966.1,14,,", Blautia producta: X94966.1",,,,,
Blautia schinkii,X94965.1 Ruminococcus schinkii 16S ribosomal RNA (strain B; CIP 105464; DSM 10518),X94965.1,15,,", Blautia schinkii: X94965.1",,,,,
Blautia wexlerae,"EF036467.1 Blautia wexlerae strain WAL 14507 16S ribosomal RNA gene, partial sequence",EF036467.1,16,,", Blautia wexlerae: EF036467.1",,,,,
Control Medium,,,,,,,,,,
Coprococcus comes,"EF031542.1 Coprococcus comes strain ATCC 27758 16S ribosomal RNA gene, partial sequence",EF031542.1,17,,", Coprococcus comes: EF031542.1",,,,,
Coprococcus eutactus,"NR_115510.1 Coprococcus eutactus strain GIFU 7852 16S ribosomal RNA, partial sequence",NR_115510.,18,,", Coprococcus eutactus: NR_115510.",,,,,
Dorea formicigenerans,"L34619.2 Dorea formicigenerans strain ATCC 27755 16S ribosomal RNA gene, partial sequence",L34619.2,19,,", Dorea formicigenerans: L34619.2",,,,,
Dorea longicatena,AJ132842.1 Eubacterium sp. III-35 16S rRNA gene,AJ132842.1,20,,", Dorea longicatena: AJ132842.1",,,,,
Faecalicatena fissicatena,"NR_117142.1 Faecalicatena fissicatena strain DSM 3598 16S ribosomal RNA, partial sequence",NR_117142.,21,,", Faecalicatena fissicatena: NR_117142.",,,,,
Fusicatenibacter saccharivorans,"AB698910.1 Fusicatenibacter saccharivorans gene for 16S ribosomal RNA, partial sequence, strain: HT03-11",AB698910.1,22,,", Fusicatenibacter saccharivorans: AB698910.1",,,,,
Roseburia intestinalis,,AJ312385.1,23,,", Roseburia intestinalis: AJ312385.1",,,,,
Sellimonas intestinalis,,KP966092.1,24,,", Sellimonas intestinalis: KP966092.1",,,,,
Tyzzerella nexilis,,,,,,,,,,
unclassified Lachnospiraceae,,,,,"[Clostridium] aldenense: DQ279736.1, [Clostridium] celerecrescens: X71848.1, [Clostridium] clostridioforme: M59089.2, [Clostridium] scindens: AF262238.1, [Eubacterium] rectale: L34627.1, [Ruminococcus] gnavus: X94967, Anaerostipes hadrus: NR_117139, Blautia caecimuris: KR364746.1, Blautia faecis: HM626178.1, Blautia hansenii: DSM.20583, Blautia luti: AJ133124.1, Blautia glucerasea: AB439724.1, Blautia obeum: X85101.1, Blautia glucerasea: AB439724.1",,,,,
Media,,,,,,,,,,
Flavonifractor plautii,,,,,,,,,,
Clostridium cochlearium,,,,,,,,,,