species,color,species_name
[Clostridium] aldenense,#AFF8DB,[Clostridium] aldenense
[Clostridium] celerecrescens,#242851,[Clostridium] celerecrescens
[Clostridium] clostridioforme,#254A9E,[Clostridium] clostridioforme
[Clostridium] scindens,#877B5C,[Clostridium] scindens
[Clostridium] symbosium,#2E9DB7,[Clostridium] symbosium
[Eubacterium] rectale,#CEF948,[Eubacterium] rectale
[Ruminococcus] gnavus,#F4B571,[Ruminococcus] gnavus
Anaerostipes hadrus,#8C855E,Anaerostipes hadrus
Bacteroides fragilis,#F76363,Bacteroides fragilis
Bacteroides thetaiotamicron,#ffbbbb,Bacteroides thetaiotaomicron
Bacteroides vulgatus,#ED0000,Bacteroides vulgatus
Blautia caecimuris,#4C4C4C,Blautia caecimuris
Blautia faecis,#9E2556,Blautia faecis
Blautia glucerasea,#A79AFF,Blautia glucerasea
Blautia hansenii,#8221F4,Blautia hansenii
Blautia luti,#ED3580,Blautia luti
Blautia obeum,#FFCCF9,Blautia obeum
Blautia producta,#B5B5B5,Blautia producta
Blautia schinkii,#FFB5E8,Blautia schinkii
Blautia wexlerae,#F6A6FF,Blautia wexlerae
Control Medium,#000000,Control Medium
Coprococcus comes,#638E5E,Coprococcus comes
Coprococcus eutactus,#8AD188,Coprococcus eutactus
Dorea formicigenerans,#ACE7FF,Dorea formicigenerans
Dorea longicatena,#6EB5FF,Dorea longicatena
Faecalicatena fissicatena,#A44DF7,Faecalicatena fissicatena
Fusicatenibacter saccharivorans,#DCD3FF,Fusicatenibacter saccharivorans
Roseburia intestinalis,#F2B15C,Roseburia intestinalis
Sellimonas intestinalis,#DAAD86,Sellimonas intestinalis
Tyzzerella nexilis,#FFF5BA,Tyzzerella nexilis
unclassified Lachnospiraceae,#383838,unclassified Lachnospiraceae
Media,#000000,Media
Flavonifractor plautii,#000000,Flavonifractor plautii
Clostridium cochlearium,#000000,Clostridium cochlearium